Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
25706460,-16.94,157.56,38.2,1.33,4.2,38.4,16.2
25720722,-16.98,156.44,38.3,1.33,4.4,38.5,16.1
25734984,-17.03,155.95,38.4,1.33,4.5,38.6,16.0
25749246,-17.02,155.63,38.4,1.33,4.6,38.7,16.0
25763508,-17.06,154.68,38.5,1.33,4.7,38.8,16.0
25777770,-17.03,154.22,38.5,1.33,4.8,38.8,16.0
25792032,-17.12,153.17,38.7,1.32,5.0,39.0,15.8
25806294,-17.10,153.22,38.6,1.32,5.0,39.0,15.8
25820556,-17.15,151.98,38.8,1.32,5.2,39.1,15.7
25834818,-17.23,151.36,38.9,1.32,5.2,39.3,15.5
25849080,-17.14,150.89,38.9,1.32,5.4,39.2,15.6
25863342,-17.21,150.08,39.0,1.32,5.5,39.4,15.4
25877604,-17.19,149.47,39.0,1.32,5.6,39.4,15.4
25891866,-17.29,148.39,39.2,1.32,5.7,39.6,15.2
25906128,-17.24,148.40,39.2,1.32,5.7,39.6,15.2
25920390,-17.27,147.44,39.3,1.32,5.9,39.7,15.1
25934652,-17.32,146.93,39.4,1.32,6.0,39.8,14.9
25948914,-17.26,146.16,39.4,1.32,6.1,39.8,15.0
25963176,-17.40,144.97,39.6,1.31,6.3,40.1,14.6
25977438,-17.30,144.85,39.5,1.32,6.3,40.0,14.7
25991700,-17.36,143.78,39.7,1.31,6.5,40.2,14.5
26005962,-17.32,143.41,39.7,1.32,6.6,40.2,14.5
26020224,-17.34,142.94,39.7,1.31,6.6,40.3,14.4
26034486,-17.42,141.93,39.9,1.31,6.7,40.5,14.1
26048748,-17.37,141.65,39.9,1.31,6.8,40.5,14.1
26063010,-17.38,140.88,40.0,1.31,6.9,40.6,13.9
26077272,-17.33,140.21,40.0,1.31,7.1,40.6,13.9
26091534,-17.43,139.44,40.2,1.31,7.1,40.8,13.6
26105796,-17.34,139.25,40.1,1.31,7.2,40.7,13.6
