Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
26391036,-11.78,73.74,50.6,1.69,26.8,57.3,-7.1
26405298,-11.74,73.78,50.6,1.70,26.9,57.3,-7.3
26419560,-11.70,73.30,50.8,1.70,27.1,57.6,-7.8
26433822,-11.68,73.24,50.8,1.71,27.2,57.6,-8.1
26448084,-11.66,72.95,50.9,1.71,27.3,57.8,-8.5
26462346,-11.63,72.59,51.1,1.71,27.4,58.0,-9.0
26476608,-11.60,72.19,51.2,1.71,27.6,58.2,-9.4
26490870,-11.58,72.07,51.3,1.72,27.7,58.3,-9.8
26505132,-11.55,71.94,51.3,1.72,27.8,58.4,-10.1
26519394,-11.55,71.54,51.5,1.72,27.8,58.5,-10.5
26533656,-11.50,71.54,51.5,1.72,28.0,58.6,-10.8
26547918,-11.51,71.10,51.7,1.72,28.0,58.8,-11.3
26562180,-11.48,70.85,51.8,1.73,28.1,59.0,-11.7
26576442,-11.45,70.77,51.8,1.73,28.2,59.0,-12.0
26590704,-11.44,70.43,52.0,1.73,28.3,59.2,-12.4
26604966,-11.41,70.31,52.1,1.74,28.4,59.3,-12.7
